trip_ID,P00590,P00600,P00585,E19220,E19470,E19510,E19780,E19720,E19790,E19590,E19440,E33040,E01640,E01440,E01030,E01570,E01400,E01910,E01560,E01130,E01225,E01210,E01335,E01360,E02050,E01010,E01720,E00975,E01150,E01500,E01920,E01420,E01860,E01820,E70378,E01900,E01470,E01990,E01930,E28880,E29030,E29170,E29105,E28910,E70815,E29077,E29055,E29057,E70164,E28960,E29240,E29140,E29050,E29190,E28990,E29220,E11145,E18870,E18850,E53500
10839-1579690,22:33:00,22:34:00,22:36:00,22:37:00,22:37:00,22:38:00,22:38:00,22:39:00,22:39:00,22:39:00,22:40:00,22:40:00,22:41:00,22:41:00,22:42:00,22:42:00,22:42:00,22:43:00,22:44:00,22:44:00,22:45:00,22:45:00,22:46:00,22:46:00,22:47:00,22:48:00,22:49:00,22:50:00,22:51:00,22:52:00,22:52:00,22:53:00,22:54:00,22:54:00,22:55:00,22:55:00,22:56:00,22:57:00,22:57:00,22:58:00,22:59:00,22:59:00,22:59:00,23:00:00,23:01:00,23:02:00,23:02:00,23:03:00,23:03:00,23:04:00,23:04:00,23:05:00,23:05:00,23:06:00,23:06:00,23:07:00,23:07:00,23:08:00,23:09:00,23:09:00
10843-1579691,23:03:00,23:04:00,23:05:00,23:06:00,23:06:00,23:07:00,23:07:00,23:07:00,23:08:00,23:08:00,23:09:00,23:09:00,23:10:00,23:10:00,23:10:00,23:11:00,23:11:00,23:11:00,23:12:00,23:12:00,23:13:00,23:13:00,23:14:00,23:14:00,23:15:00,23:16:00,23:16:00,23:17:00,23:18:00,23:18:00,23:19:00,23:19:00,23:20:00,23:20:00,23:21:00,23:21:00,23:22:00,23:22:00,23:23:00,23:23:00,23:23:00,23:24:00,23:24:00,23:25:00,23:25:00,23:26:00,23:26:00,23:27:00,23:27:00,23:27:00,23:28:00,23:29:00,23:29:00,23:29:00,23:30:00,23:30:00,23:31:00,23:31:00,23:32:00,23:32:00
10835-1579649,22:03:00,22:04:00,22:06:00,22:07:00,22:07:00,22:08:00,22:08:00,22:09:00,22:09:00,22:09:00,22:10:00,22:10:00,22:11:00,22:11:00,22:12:00,22:12:00,22:12:00,22:13:00,22:14:00,22:14:00,22:15:00,22:15:00,22:16:00,22:16:00,22:17:00,22:18:00,22:19:00,22:20:00,22:21:00,22:22:00,22:22:00,22:23:00,22:24:00,22:24:00,22:25:00,22:25:00,22:26:00,22:27:00,22:27:00,22:28:00,22:29:00,22:29:00,22:29:00,22:30:00,22:31:00,22:32:00,22:32:00,22:33:00,22:33:00,22:34:00,22:34:00,22:35:00,22:35:00,22:36:00,22:36:00,22:37:00,22:37:00,22:38:00,22:39:00,22:39:00
10819-1579669,20:16:00,20:17:00,20:19:00,20:20:00,20:20:00,20:21:00,20:21:00,20:22:00,20:22:00,20:22:00,20:23:00,20:23:00,20:24:00,20:24:00,20:25:00,20:25:00,20:25:00,20:26:00,20:27:00,20:27:00,20:28:00,20:28:00,20:29:00,20:29:00,20:30:00,20:31:00,20:32:00,20:33:00,20:34:00,20:35:00,20:35:00,20:36:00,20:37:00,20:37:00,20:38:00,20:38:00,20:39:00,20:40:00,20:40:00,20:41:00,20:42:00,20:42:00,20:42:00,20:43:00,20:44:00,20:45:00,20:45:00,20:46:00,20:46:00,20:47:00,20:47:00,20:48:00,20:48:00,20:49:00,20:49:00,20:50:00,20:50:00,20:51:00,20:52:00,20:52:00
10791-1579682,17:56:00,17:57:00,17:59:00,18:00:00,18:01:00,18:02:00,18:02:00,18:03:00,18:03:00,18:04:00,18:05:00,18:05:00,18:06:00,18:07:00,18:07:00,18:08:00,18:08:00,18:09:00,18:10:00,18:10:00,18:11:00,18:12:00,18:12:00,18:13:00,18:14:00,18:15:00,18:17:00,18:17:00,18:19:00,18:20:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:27:00,18:27:00,18:28:00,18:29:00,18:29:00,18:30:00,18:31:00,18:32:00,18:33:00,18:33:00,18:34:00,18:35:00,18:35:00,18:36:00,18:37:00,18:37:00,18:38:00,18:39:00,18:39:00,18:40:00,18:41:00,18:41:00,18:42:00
10795-1579684,18:16:00,18:17:00,18:19:00,18:20:00,18:20:00,18:21:00,18:22:00,18:22:00,18:23:00,18:23:00,18:24:00,18:24:00,18:25:00,18:25:00,18:26:00,18:26:00,18:27:00,18:27:00,18:28:00,18:29:00,18:29:00,18:30:00,18:30:00,18:31:00,18:32:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:41:00,18:42:00,18:43:00,18:43:00,18:44:00,18:45:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:49:00,18:50:00,18:50:00,18:51:00,18:52:00,18:52:00,18:53:00,18:54:00,18:54:00,18:54:00,18:55:00,18:56:00,18:57:00,18:57:00
10782-1579655,17:20:00,17:21:00,17:23:00,17:24:00,17:25:00,17:26:00,17:26:00,17:27:00,17:27:00,17:28:00,17:29:00,17:29:00,17:30:00,17:31:00,17:31:00,17:32:00,17:32:00,17:33:00,17:34:00,17:34:00,17:35:00,17:36:00,17:36:00,17:37:00,17:38:00,17:39:00,17:41:00,17:41:00,17:43:00,17:44:00,17:44:00,17:45:00,17:46:00,17:47:00,17:48:00,17:49:00,17:50:00,17:51:00,17:51:00,17:52:00,17:53:00,17:53:00,17:54:00,17:55:00,17:56:00,17:57:00,17:57:00,17:58:00,17:59:00,17:59:00,18:00:00,18:01:00,18:01:00,18:02:00,18:03:00,18:03:00,18:04:00,18:05:00,18:05:00,18:06:00
10778-1579361,17:05:00,17:06:00,17:08:00,17:09:00,17:10:00,17:11:00,17:11:00,17:12:00,17:12:00,17:13:00,17:14:00,17:14:00,17:15:00,17:16:00,17:16:00,17:17:00,17:17:00,17:18:00,17:19:00,17:19:00,17:20:00,17:21:00,17:21:00,17:22:00,17:23:00,17:24:00,17:26:00,17:26:00,17:28:00,17:29:00,17:29:00,17:30:00,17:31:00,17:32:00,17:33:00,17:34:00,17:35:00,17:36:00,17:36:00,17:37:00,17:38:00,17:38:00,17:39:00,17:40:00,17:41:00,17:42:00,17:42:00,17:43:00,17:44:00,17:44:00,17:45:00,17:46:00,17:46:00,17:47:00,17:48:00,17:48:00,17:49:00,17:50:00,17:50:00,17:51:00
10766-1579739,16:20:00,16:21:00,16:23:00,16:24:00,16:25:00,16:26:00,16:26:00,16:27:00,16:27:00,16:28:00,16:29:00,16:29:00,16:30:00,16:31:00,16:31:00,16:32:00,16:32:00,16:33:00,16:34:00,16:34:00,16:35:00,16:36:00,16:36:00,16:37:00,16:38:00,16:39:00,16:41:00,16:41:00,16:43:00,16:44:00,16:44:00,16:45:00,16:46:00,16:47:00,16:48:00,16:49:00,16:50:00,16:51:00,16:51:00,16:52:00,16:53:00,16:53:00,16:54:00,16:55:00,16:56:00,16:57:00,16:57:00,16:58:00,16:59:00,16:59:00,17:00:00,17:01:00,17:01:00,17:02:00,17:03:00,17:03:00,17:04:00,17:05:00,17:05:00,17:06:00
10738-1579608,14:35:00,14:36:00,14:38:00,14:39:00,14:39:00,14:40:00,14:41:00,14:41:00,14:42:00,14:42:00,14:43:00,14:43:00,14:44:00,14:44:00,14:45:00,14:45:00,14:46:00,14:46:00,14:47:00,14:48:00,14:48:00,14:49:00,14:49:00,14:50:00,14:51:00,14:52:00,14:53:00,14:54:00,14:55:00,14:56:00,14:56:00,14:57:00,14:58:00,14:58:00,14:59:00,14:59:00,15:00:00,15:01:00,15:01:00,15:02:00,15:03:00,15:03:00,15:03:00,15:04:00,15:05:00,15:06:00,15:06:00,15:07:00,15:07:00,15:08:00,15:09:00,15:09:00,15:10:00,15:11:00,15:11:00,15:11:00,15:12:00,15:13:00,15:14:00,15:14:00
