stop_ID,stop_Name
P00590,FIFTH AVE AT WOOD ST
P00600,FIFTH AVE AT SMITHFIELD ST
P00585,FIFTH AVE AT ROSS ST
E19220,FORBES AVE AT BOYD ST (DUQUESNE UNIV)
E19470,FORBES AVE AT MCANULTY DR
E19510,FORBES AVE AT MAGEE ST
E19780,FORBES AVE AT STEVENSON ST
E19720,FORBES AVE AT PRIDE ST (MERCY HOSPITAL)
E19790,FORBES AVE AT VAN BRAAM ST
E19590,FORBES AVE AT MILTENBERGER ST
E19440,FORBES AVE AT GIST ST
E33040,JUMONVILLE ST AT WATSON ST
E01640,FIFTH AVE AT SENECA ST
E01440,FIFTH AVE AT MOULTRIE ST
E01030,FIFTH AVE AT BIRMINGHAM BRIDGE
E01570,FIFTH AVE AT #2358
E01400,FIFTH AVE AT #2410 (ACTA PROGRAM)
E01910,FIFTH AVE OPP BRENHAM ST
E01560,FIFTH AVE AT MAURICE ST
E01130,FIFTH AVE AT CRAFT AVE (CARLOW UNIV)
E01225,FIFTH AVE AT HALKET ST
E01210,FIFTH AVE AT MCKEE PL FS
E01335,FIFTH AVE AT MEYRAN AVE
E01360,FIFTH AVE AT OAKLAND AVE
E02050,FIFTH AVE OPP THACKERAY AVE
E01010,FIFTH AVE AT BIGELOW BLVD (PITT)
E01720,FIFTH AVE OPP TENNYSON AVE
E00975,FIFTH AVE AT BELLEFIELD AVE
E01150,FIFTH AVE AT CRAIG ST NS
E01500,FIFTH AVE AT NEVILLE ST
E01920,FIFTH AVE OPP CLYDE ST
E01420,FIFTH AVE AT MOREWOOD AVE
E01860,FIFTH AVE OPP AMBERSON AVE
E01820,FIFTH AVE AT WILKINS AVE FS
E70378,FIFTH AVE OPP AIKEN AVE
E01900,FIFTH AVE OPP BELLEFONTE ST
E01470,FIFTH AVE AT NEGLEY AVE
E01990,FIFTH AVE OPP MARYLAND AVE
E01930,FIFTH AVE OPP COLLEGE ST
E28880,HIGHLAND AVE AT FIFTH AVE FS
E29030,HIGHLAND AVE AT HOWE ST
E29170,HIGHLAND AVE AT WALNUT ST
